Date,Tees,Hole,Par,Score,Points,Hit Fairway,Tee Shot Result,Tee Shot Miss,Pin Location,GIR,Penalty,Scramble Save,# Putts,Fault,Notes
24/05/2025,White,10,4,6,1,FALSE,Rough,Right,,FALSE,FALSE,FALSE,2.00,Long Game,Sprayed driver right onto 18. Nice 4i but duffed a wedge and chipped on
24/05/2025,White,11,4,5,2,FALSE,Rough,Right,,FALSE,FALSE,FALSE,2.00,Long Game,"Hybrid flared right, punched out. Good 2 putt"
24/05/2025,White,12,4,,0,FALSE,Out of Bounds,Right,,FALSE,TRUE,FALSE,,Long Game,"Tee shot high and right, lost ball. wipe"
24/05/2025,White,13,5,6,2,TRUE,Fairway,,,FALSE,FALSE,FALSE,2.00,Short Game,3 iron off the tee. Sweet 7i into the wind approach just short. Chip came up a bit short and 2 putted for bogey
24/05/2025,White,14,4,5,1,FALSE,Rough,Right,,TRUE,FALSE,FALSE,3.00,Long Game,Driver 4i into the wind. Par putt just lipped out
24/05/2025,White,15,3,5,1,FALSE,,,,FALSE,FALSE,FALSE,1.00,Long Game,"Wild tee shot right, second serve short right. great pitch to a tap in 5 - into the wind"
24/05/2025,White,16,4,5,2,FALSE,Rough,Right,,FALSE,FALSE,FALSE,2.00,Long Game,Driver high and right. 4i back into position. Nice gap wedge pitch. Just missed putt - into the wind
24/05/2025,White,17,5,7,0,FALSE,Hazard,Right,,FALSE,TRUE,FALSE,2.00,Long Game,"3i off the tee topped/thinned into the water. 3i, 3i, 5i into the green and 2 putt for 2nd ball bar"
24/05/2025,White,18,4,5,2,TRUE,Fairway,,,FALSE,FALSE,FALSE,2.00,Short Game,"Great drive, 3i from 185 just left of green. chip wasnt great"
24/05/2025,White,1,4,5,2,TRUE,Fairway,,,FALSE,FALSE,FALSE,2.00,Long Game,Terrible drive short of the hill into the wind. Hyrbid ok. 
24/05/2025,White,2,4,5,2,FALSE,Rough,Left,,FALSE,FALSE,FALSE,2.00,Long Game,3i off the tee just short of fairway.  6i short
24/05/2025,White,3,3,4,1,FALSE,,,,TRUE,FALSE,FALSE,3.00,Putting,3 putts from distance. Par putt just missed. unlucky.
24/05/2025,White,4,4,6,1,TRUE,Fairway,,,FALSE,FALSE,FALSE,2.00,Short Game,"3i off the tee, nice 5i just kicked off the green. Thinned a chip"
24/05/2025,White,5,3,3,3,FALSE,,,,TRUE,FALSE,FALSE,1.00,,Great chip and made the up and down
24/05/2025,White,6,5,6,1,FALSE,Hazard,Right,,FALSE,TRUE,FALSE,2.00,Long Game,Flared driver off the tee down breeze for penalty. Good 3i and great pitch just missed par putt
24/05/2025,White,7,5,6,1,FALSE,Rough,Right,,TRUE,FALSE,FALSE,3.00,Long Game,Bad tee shot and second (hybrid).  Great 3i into the green but 3 putted from distance.
24/05/2025,White,8,4,4,3,TRUE,Fairway,,,TRUE,FALSE,FALSE,2.00,,"Smoked driver, easy 2 putt"
24/05/2025,White,9,4,3,3,TRUE,Fairway,,,TRUE,FALSE,FALSE,1.00,,Decent drive (bit heely). Nice 8i into the breeze to 2m and made the putt
31/05/2025,White,10,4,4,3,TRUE,Fairway,,,FALSE,FALSE,TRUE,1.00,,"ball in a divot, solid 5i just short left out and good up and down"
31/05/2025,White,11,4,5,2,TRUE,Fairway,,,FALSE,FALSE,FALSE,2.00,Approach,Solid hybrid from back tees. weak 9i in that went nowhere
31/05/2025,White,12,4,,0,FALSE,Rough,Right,,FALSE,FALSE,FALSE,,Short Game,"Missed right off the tee, should have got up and down but thinned a chip into the trees"
31/05/2025,White,13,5,6,2,TRUE,Fairway,,,FALSE,FALSE,FALSE,2.00,Approach,"Always the 3rd shot into this hole. Took an extra club and still came up short, couldnt get up and down"
31/05/2025,White,14,4,4,2,TRUE,Fairway,,,FALSE,FALSE,TRUE,1.00,,"Good putt to save par. Nice drive, took an extra club and smoked it through the back into the wind (6i off the toe from ~140)"
